fighter_a,fighter_b,winner,method,weight_class,event
Joe Pyfer,Israel Adesanya,Joe Pyfer,"KO/TKO

      

        Punches",Middleweight,UFC Fight Night: Adesanya vs. Pyfer
Alexa Grasso,Maycee Barber,Alexa Grasso,"KO/TKO

      

        Punch",Women's Flyweight,UFC Fight Night: Adesanya vs. Pyfer
Michael Chiesa,Niko Price,Michael Chiesa,"SUB

      

        Rear Naked Choke",Welterweight,UFC Fight Night: Adesanya vs. Pyfer
Lerryan Douglas,Julian Erosa,Lerryan Douglas,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Adesanya vs. Pyfer
Yousri Belgaroui,Mansur Abdul-Malik,Yousri Belgaroui,"KO/TKO

      

        Knee",Middleweight,UFC Fight Night: Adesanya vs. Pyfer
Terrance McKinney,Kyle Nelson,Terrance McKinney,"KO/TKO

      

        Punches",Lightweight,UFC Fight Night: Adesanya vs. Pyfer
Tofiq Musayev,Ignacio Bahamondes,Tofiq Musayev,U-DEC,Lightweight,UFC Fight Night: Adesanya vs. Pyfer
Lance Gibson Jr.,Chase Hooper,Lance Gibson Jr.,"KO/TKO

      

        Knees",Lightweight,UFC Fight Night: Adesanya vs. Pyfer
Tyrell Fortune,Marcin Tybura,Tyrell Fortune,U-DEC,Heavyweight,UFC Fight Night: Adesanya vs. Pyfer
Casey O'Neill,Gabriella Fernandes,Casey O'Neill,"KO/TKO

      

        Punches",Women's Flyweight,UFC Fight Night: Adesanya vs. Pyfer
Navajo Stirling,Bruno Lopes,Navajo Stirling,"KO/TKO

      

        Punches",Light Heavyweight,UFC Fight Night: Adesanya vs. Pyfer
Ricky Simon,Adrian Yanez,,M-DEC,Bantamweight,UFC Fight Night: Adesanya vs. Pyfer
Alexia Thainara,Bruna Brasil,Alexia Thainara,U-DEC,Women's Strawweight,UFC Fight Night: Adesanya vs. Pyfer
Movsar Evloev,Lerone Murphy,Movsar Evloev,M-DEC,Featherweight,UFC Fight Night: Evloev vs. Murphy
Luke Riley,Michael Aswell Jr.,Luke Riley,U-DEC,Featherweight,UFC Fight Night: Evloev vs. Murphy
Michael Page,Sam Patterson,Michael Page,U-DEC,Welterweight,UFC Fight Night: Evloev vs. Murphy
Iwo Baraniewski,Austen Lane,Iwo Baraniewski,"KO/TKO

      

        Punch",Light Heavyweight,UFC Fight Night: Evloev vs. Murphy
Christian Leroy Duncan,Roman Dolidze,Christian Leroy Duncan,U-DEC,Middleweight,UFC Fight Night: Evloev vs. Murphy
Danny Silva,Kurtis Campbell,Danny Silva,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Evloev vs. Murphy
Mason Jones,Axel Sola,Mason Jones,U-DEC,Lightweight,UFC Fight Night: Evloev vs. Murphy
Nathaniel Wood,Losene Keita,Nathaniel Wood,S-DEC,Featherweight,UFC Fight Night: Evloev vs. Murphy
Mario Pinto,Felipe Franco,Mario Pinto,U-DEC,Heavyweight,UFC Fight Night: Evloev vs. Murphy
Mantas Kondratavicius,Antonio Trocoli,Mantas Kondratavicius,U-DEC,Middleweight,UFC Fight Night: Evloev vs. Murphy
Brando Pericic,Louie Sutherland,Brando Pericic,"KO/TKO

      

        Punches",Heavyweight,UFC Fight Night: Evloev vs. Murphy
Abdul-Kareem Al-Selwady,Shem Rock,Abdul-Kareem Al-Selwady,U-DEC,Lightweight,UFC Fight Night: Evloev vs. Murphy
Shanelle Dyer,Ravena Oliveira,Shanelle Dyer,"KO/TKO

      

        Punches",Women's Strawweight,UFC Fight Night: Evloev vs. Murphy
Kevin Vallejos,Josh Emmett,Kevin Vallejos,"KO/TKO

      

        Punches",Featherweight,UFC Fight Night: Emmett vs. Vallejos
Gillian Robertson,Amanda Lemos,Gillian Robertson,U-DEC,Women's Strawweight,UFC Fight Night: Emmett vs. Vallejos
Jose Delgado,Andre Fili,Jose Delgado,S-DEC,Featherweight,UFC Fight Night: Emmett vs. Vallejos
Marwan Rahiki,Harry Hardwick,Marwan Rahiki,KO/TKO,Featherweight,UFC Fight Night: Emmett vs. Vallejos
Ion Cutelaba,Oumar Sy,Ion Cutelaba,"SUB

      

        Guillotine Choke",Light Heavyweight,UFC Fight Night: Emmett vs. Vallejos
Charles Johnson,Bruno Silva,Charles Johnson,S-DEC,Flyweight,UFC Fight Night: Emmett vs. Vallejos
Myktybek Orolbai,Chris Curtis,Myktybek Orolbai,U-DEC,Welterweight,UFC Fight Night: Emmett vs. Vallejos
Vitor Petrino,Steven Asplund,Vitor Petrino,U-DEC,Heavyweight,UFC Fight Night: Emmett vs. Vallejos
Elijah Smith,SuYoung You,Elijah Smith,"SUB

      

        Rear Naked Choke",Bantamweight,UFC Fight Night: Emmett vs. Vallejos
Manoel Sousa,Bolaji Oki,Manoel Sousa,"KO/TKO

      

        Punch",Lightweight,UFC Fight Night: Emmett vs. Vallejos
Eryk Anders,Brad Tavares,Eryk Anders,U-DEC,Middleweight,UFC Fight Night: Emmett vs. Vallejos
Bia Mesquita,Montse Rendon,Bia Mesquita,"SUB

      

        Rear Naked Choke",Women's Bantamweight,UFC Fight Night: Emmett vs. Vallejos
Hecher Sosa,Luan Lacerda,Hecher Sosa,U-DEC,Bantamweight,UFC Fight Night: Emmett vs. Vallejos
Piera Rodriguez,Sam Hughes,Piera Rodriguez,U-DEC,Women's Strawweight,UFC Fight Night: Emmett vs. Vallejos
Charles Oliveira,Max Holloway,Charles Oliveira,U-DEC,Lightweight,UFC 326: Holloway vs. Oliveira 2
