fighter_a,fighter_b,odds_a,odds_b,implied_prob_a,implied_prob_b,event
alexander volkanovski,max holloway,-200,155,0.6667,0.3922,UFC Fight Night: Adesanya vs. Pyfer
alex pereira,sean strickland,107,-130,0.4831,0.5652,UFC Fight Night: Adesanya vs. Pyfer
belal muhammad,vicente luque,151,-190,0.3984,0.6552,UFC Fight Night: Evloev vs. Murphy
jasmine jasudavicius,natalia silva,-250,200,0.7143,0.3333,UFC Fight Night: Emmett vs. Vallejos
kyle daukaus,roman dolidze,-250,205,0.7143,0.3279,UFC Fight Night: Emmett vs. Vallejos
jesus aguilar,sumudaerji,144,-180,0.4098,0.6429,UFC 326: Holloway vs. Oliveira 2
diyar nurgozhay,rafael tobias,146,-175,0.4065,0.6364,UFC 326: Holloway vs. Oliveira 2
luke fernandez,rodolfo bellato,-230,190,0.697,0.3448,UFC 326: Holloway vs. Oliveira 2
belal muhammad,vicente luque,151,-190,0.3984,0.6552,UFC Fight Night: Moreno vs. Kavanagh
jean matsumoto,miles johns,-250,210,0.7143,0.3226,UFC Fight Night: Strickland vs. Hernandez
christian leroy duncan,eryk anders,-500,380,0.8333,0.2083,UFC Fight Night: Strickland vs. Hernandez
joselyne edwards,priscila cachoeira,-420,330,0.8077,0.2326,UFC Fight Night: Strickland vs. Hernandez
cody brundage,eric mcconico,-225,185,0.6923,0.3509,UFC Fight Night: Strickland vs. Hernandez
charles oliveira,justin gaethje,-145,118,0.5918,0.4587,UFC Fight Night: Bautista vs. Oliveira
macy chiasson,norma dumont,183,-230,0.3534,0.697,UFC Fight Night: Bautista vs. Oliveira
brandon royval,matt schnell,-260,205,0.7222,0.3279,UFC Fight Night: Bautista vs. Oliveira
melissa gatto,tracy cortez,105,-125,0.4878,0.5556,UFC Fight Night: Bautista vs. Oliveira
belal muhammad,vicente luque,151,-190,0.3984,0.6552,UFC 325: Volkanovski vs. Lopes 2
denzel freeman,josh hokit,215,-265,0.3175,0.726,UFC 324: Gaethje vs. Pimblett
